country,gasDayStart,full,gasInStorage,trend
DE,2025-12-31,56.59,142.1116,-0.53
DE,2025-12-30,57.12,143.446,-0.56
DE,2025-12-29,57.68,144.8559,-0.61
DE,2025-12-28,58.29,146.3856,-0.43
DE,2025-12-27,58.72,147.4637,-0.42
DE,2025-12-26,59.14,148.5261,-0.64
DE,2025-12-25,59.78,150.122,-0.52
DE,2025-12-24,60.3,151.4402,-0.32
DE,2025-12-23,60.62,152.2448,-0.25
DE,2025-12-22,60.87,152.8778,-0.23
DE,2025-12-21,61.1,153.4518,-0.08
DE,2025-12-20,61.19,153.6632,-0.18
DE,2025-12-19,61.36,154.1121,-0.13
DE,2025-12-18,61.49,154.4399,-0.11
DE,2025-12-17,61.61,154.7253,-0.46
DE,2025-12-16,62.07,155.8745,-0.58
DE,2025-12-15,62.65,157.3343,-0.41
DE,2025-12-14,63.06,158.3657,-0.18
DE,2025-12-13,63.24,158.8221,-0.27
DE,2025-12-12,63.51,159.493,-0.44
DE,2025-12-11,63.95,160.5947,-0.26
DE,2025-12-10,64.2,161.2433,-0.1
DE,2025-12-09,64.3,161.4942,-0.05
DE,2025-12-08,64.35,161.6139,-0.01
DE,2025-12-07,64.36,161.6329,-0.02
DE,2025-12-06,64.38,161.6846,-0.16
DE,2025-12-05,64.53,162.0745,-0.5
DE,2025-12-04,65.03,163.3268,-0.58
DE,2025-12-03,65.61,164.7716,-0.7
DE,2025-12-02,66.31,166.5336,-0.43
DE,2025-12-01,66.74,167.6205,-0.39
DE,2025-11-30,67.13,168.6038,-0.13
DE,2025-11-29,67.26,168.923,-0.14
DE,2025-11-28,67.4,169.2775,-0.42
DE,2025-11-27,67.82,170.326,-0.63
DE,2025-11-26,68.45,171.9039,-0.82
DE,2025-11-25,69.26,173.9516,-0.72
DE,2025-11-24,69.98,175.7549,-0.66
DE,2025-11-23,70.64,177.4075,-0.51
DE,2025-11-22,71.15,178.6885,-0.54
DE,2025-11-21,71.69,180.0399,-0.79
DE,2025-11-20,72.47,182.0119,-0.69
DE,2025-11-19,73.16,183.7444,-0.51
DE,2025-11-18,73.68,185.0321,-0.62
DE,2025-11-17,74.3,186.5933,-0.32
DE,2025-11-16,74.62,187.3973,-0.05
DE,2025-11-15,74.66,187.5111,-0.01
DE,2025-11-14,74.68,187.5467,-0.04
DE,2025-11-13,74.72,187.6527,0.01
DE,2025-11-12,74.71,187.6351,0.05
DE,2025-11-11,74.67,187.5203,0.01
DE,2025-11-10,74.66,187.4961,-0.17
