country,winter,min_winter_full,days,storage_stress,storage_at_start,storage_trend_30d,storage_volatility,vol_x_start
AT,2014.0,16.49,151,1,95.67741935483869,-1.7600000000000051,4.021234382009605,-11.012803533258381
AT,2015.0,36.17,152,0,74.72322580645161,1.5499999999999972,5.596115020337677,-0.7612849224682314
AT,2016.0,14.59,151,1,89.32193548387097,-2.8900000000000006,4.284995027362267,-1.1211648115537973
AT,2017.0,14.47,151,1,84.64290322580645,5.019999999999996,10.654360058899325,-19.361233297378277
AT,2018.0,44.0,151,0,72.65709677419356,6.740000000000009,6.7935188545382195,-19.761368774186455
AT,2019.0,73.36,152,0,99.91516129032257,-1.2800000000000011,2.021882708737116,-40.41625961804989
AT,2020.0,24.61,151,1,90.86258064516129,0.269999999999996,1.5045782192952044,-9.821967245227787
AT,2021.0,12.38,151,1,56.13451612903226,2.6099999999999994,6.43290428019509,-28.81745847128756
AT,2022.0,65.85,151,0,86.5167741935484,13.049999999999997,11.174573020802784,-10.773408324532381
AT,2023.0,73.13,152,0,97.23225806451613,4.450000000000003,2.9662529779316937,-22.662413616773115
AT,2024.0,42.97,151,0,93.55258064516133,1.5700000000000074,1.794399628000627,-19.19385815137509
BE,2014.0,17.22,151,1,95.54741935483871,-2.780000000000001,3.9803506282230345,-11.106318151500739
BE,2015.0,16.1,152,1,57.21419354838711,5.420000000000002,8.446863067458802,-90.71933152312018
BE,2016.0,14.25,151,1,84.90774193548386,0.9899999999999949,8.618530681682993,-10.83825112445184
BE,2017.0,2.04,151,1,79.2983870967742,7.070000000000007,7.477416622792359,-17.684568947127392
BE,2018.0,26.04,151,1,52.93645161290323,3.479999999999997,4.548383290994476,35.215225864567834
BE,2019.0,62.67,152,0,97.16258064516128,-0.28000000000000114,3.115944555733782,-21.175696317944343
BE,2020.0,21.38,151,1,97.53516129032258,-0.18999999999999773,0.15428822518087162,-49.04842579502572
BE,2021.0,12.71,151,1,90.5658064516129,5.77000000000001,9.147804181786722,7.70801053897342
BE,2022.0,27.76,151,1,111.68096774193549,11.72999999999999,13.21124250786987,178.35833199094662
BE,2023.0,51.02,152,0,99.39580645161291,6.560000000000002,4.41654443191746,-12.32698774897563
BE,2024.0,30.36,151,0,96.6641935483871,3.8500000000000085,2.567517744007383,-24.483702690950448
BG,2014.0,30.76,151,0,83.32032258064515,4.5,4.714055760209254,4.222383958894704
BG,2015.0,27.17,152,1,77.57645161290324,10.090000000000003,9.157021374302792,-39.2476624100536
BG,2016.0,28.03,151,1,79.88419354838707,4.6499999999999915,4.563902716151702,8.345420627333649
BG,2017.0,26.17,151,1,79.14967741935483,4.5800000000000125,3.558029157503203,18.396610006470063
BG,2018.0,24.87,151,1,84.13322580645163,-0.010000000000005116,5.506764175574729,0.1452222944924293
BG,2019.0,32.47,152,0,98.54548387096773,2.780000000000001,8.069852053154394,25.587474495308008
BG,2020.0,12.37,151,1,96.89096774193548,-2.789999999999992,7.19816424787083,14.026530700021814
BG,2021.0,16.83,151,1,74.11774193548388,4.400000000000006,10.05846370649273,-64.65667878036405
BG,2022.0,77.54,151,0,83.2041935483871,14.299999999999997,11.836282343934828,-32.89379129696403
BG,2023.0,44.27,152,0,96.75677419354837,1.4399999999999977,2.94889895447358,-21.58288795794412
BG,2024.0,34.03,151,0,97.58580645161295,5.930000000000007,5.592005150033617,0.47098120368757634
CZ,2014.0,21.48,151,1,101.01903225806451,-0.19999999999998863,2.7990558779238985,-34.51579056429538
CZ,2015.0,35.88,152,0,95.48161290322581,-4.890000000000001,8.24623397869965,19.0820369173294
CZ,2016.0,27.25,151,1,99.46612903225805,-1.9200000000000017,4.246851936821367,-14.278952432137663
CZ,2017.0,21.37,151,1,96.32677419354839,2.700000000000003,6.072752046290901,4.203059892528466
CZ,2018.0,37.45,151,0,91.09032258064518,3.0,8.418726999649753,7.659743396017172
CZ,2019.0,43.53,152,0,97.5409677419355,-0.01999999999999602,2.3334775129344565,-29.22296855230143
CZ,2020.0,28.25,151,1,97.78935483870968,-1.0800000000000125,2.4969386624714707,-28.48951236985675
CZ,2021.0,24.34,151,1,86.56290322580647,1.1599999999999966,10.128689417977169,-8.561811572927413
CZ,2022.0,55.94,151,0,89.85548387096775,8.460000000000008,4.072722690333771,-2.09388086486836
CZ,2023.0,63.78,152,0,98.0841935483871,1.990000000000009,2.1910187262268335,-32.34061314233635
CZ,2024.0,33.7,151,0,92.95645161290322,-1.5,2.0107259854997754,-15.98124706590518
DE,2014.0,31.89,151,0,94.73258064516129,4.329999999999998,3.7800065328335983,-11.097878817627805
DE,2015.0,51.21,152,0,79.81645161290321,2.1199999999999903,6.027823933500661,-4.196490241710746
DE,2016.0,26.65,151,1,94.97451612903225,0.9300000000000068,4.256696133450721,-8.403635606660854
DE,2017.0,14.18,151,1,90.76935483870969,7.259999999999991,7.599143344846878,4.817820055097276
DE,2018.0,53.55,151,0,84.7041935483871,7.560000000000002,8.161164072222347,-9.76116921465418
DE,2019.0,71.81,152,0,99.00838709677419,0.9200000000000017,3.2262405718135736,-24.48422008651782
DE,2020.0,25.39,151,1,94.81290322580647,-0.4299999999999926,1.5722378271967683,-25.333503918114506
DE,2021.0,24.46,151,1,71.37064516129033,4.189999999999998,7.003903089662809,-24.962032723367173
DE,2022.0,63.58,151,0,95.76483870967742,7.1000000000000085,7.98390803604913,17.92396633396997
