date,predicted_price_eur_mwh
2026-05-26,101.91
2026-05-27,121.28
2026-05-28,119.4
2026-05-29,109.85
2026-05-30,98.3
2026-05-31,87.01
2026-06-01,73.87
2026-06-02,105.08
2026-06-03,120.85
2026-06-04,118.61
2026-06-05,110.13
2026-06-06,99.02
2026-06-07,87.45
2026-06-08,73.87
2026-06-09,105.04
2026-06-10,120.92
2026-06-11,118.73
2026-06-12,110.25
2026-06-13,99.1
2026-06-14,87.51
2026-06-15,73.92
2026-06-16,105.1
2026-06-17,120.97
2026-06-18,118.77
2026-06-19,110.29
2026-06-20,99.14
2026-06-21,87.54
2026-06-22,73.95
2026-06-23,105.12
2026-06-24,120.99
